,,Sample name,,RL0.061A,RL0.062A,RL0.063A,RL0.064A,RL0.065A,RL0.1251A,RL0.1252A,RL0.1253A,RL0.1254A,RL0.1255A,RL0.251A,RL0.252A,RL0.253A,RL0.254A,RL0.255A,RL0.51A,RL0.52A,RL0.53A,RL0.54A,RL0.55A,RL11A,RL12A,RL13A,RL14A,RL15A,RLCTRL1A,RLCTRL2A,RLCTRL3A,RLCTRL4A,RLCTRL5A,SH0.061A,SH0.062A,SH0.063A,SH0.064A,SH0.065A,SH0.1251A,SH0.1252A,SH0.1253A,SH0.1254A,SH0.1255A,SH0.251A,SH0.252A,SH0.253A,SH0.254A,SH0.255A,SH0.51A,SH0.52A,SH0.53A,SH0.54A,SH0.55A,SH11A,SH12A,SH13A,SH14A,SH15A,SHCTRL1A,SHCTRL2A,SHCTRL3A,SHCTRL4A,SHCTRL5A
RT,RI,Group,Class,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH,SH
,,Concentration,,0.06,0.06,0.06,0.06,0.06,0.125,0.125,0.125,0.125,0.125,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,CTRL,CTRL,CTRL,CTRL,CTRL,0.06,0.06,0.06,0.06,0.06,0.125,0.125,0.125,0.125,0.125,0.25,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,CTRL,CTRL,CTRL,CTRL,CTRL
7.015447368,1314.910526,Adenine 2TMS,Nucleic acids,-0.502497179,-1.599104956,-1.146603626,-0.913768307,-1.374116948,-0.477664784,-0.875213695,-0.587683508,-0.706874096,-0.634986387,-0.858631523,-0.725620535,-2.58800195,-1.043212043,-0.732756965,-0.956355795,-1.195176476,-0.901811168,-1.019560901,-1.129669585,-1.518509144,-0.612289346,-0.921135946,-0.550954621,-0.961239912,-0.026083741,0.226862824,0.084387456,0.040700132,0.000667705,-1.177067265,0.861291744,0.720700656,1.284388004,1.456956953,0.665720485,0.669801872,1.883421052,0.673737743,0.418758314,0.142869959,1.433581987,1.181460096,1.129540802,0.460220213,1.093575441,0.522258392,1.32701425,0.310268972,1.07556502,1.73872316,0.692347145,0.722163404,0.697186767,0.319613,1.134893657,0.772127169,-0.193871222,1.388972425,0.800684821
7.067031579,1319.522807,Serine 3TMS,Amino acids,-0.964698807,-0.574672376,-0.33759909,-0.492844671,-0.648310264,-1.351204084,-0.629745833,-0.955517049,-0.839727749,-0.713810466,-1.107072871,-0.738527995,-0.879959254,-0.851969392,-0.694344883,-0.770417594,-0.736082828,-0.68255697,-0.62107698,-0.55267877,-0.772831384,-0.907067398,-0.727215893,-0.787254186,-1.195462902,-0.488931359,-1.280556245,-2.034925111,-1.922106254,-1.946059267,0.630037735,0.22100108,0.227569555,0.626038184,0.669675569,0.839207796,0.934200336,1.516879975,0.981446516,0.765319621,1.08043272,1.242339287,1.215444721,1.264566594,0.963460192,0.446258266,0.577959754,0.646795518,0.393496463,0.770237698,1.534255515,1.69709378,1.386217116,1.471865081,1.158249341,0.908949164,0.595577668,0.867828252,0.948456858,0.624367571
7.377153226,1347.167742,L-Threonine 3TMS,Amino acids,-0.527422969,-0.49507938,-0.309517527,-0.427128441,-0.419420385,-0.727705772,-0.682407887,-0.618645909,-0.467186875,-0.455480561,-0.804916354,-0.703375513,-0.699165497,2.877782373,-0.627904359,-0.621902264,-0.598674525,-0.632334134,-0.552238577,-0.524286962,-0.627810012,-0.620383644,-0.59039988,-0.466898063,-0.905591978,-0.360969977,-0.659142226,-0.680235187,-0.621593096,-1.062182287,0.086076482,-0.414757749,-0.1826861,0.072567923,0.110455828,0.166299248,0.204060468,0.531600585,0.249208922,0.228602922,0.283904233,0.333969077,0.373281109,0.409114166,0.204756431,-0.04270939,-0.001240107,0.116656367,0.019447716,3.902549883,4.63861516,0.651822625,0.511190552,0.529807284,0.423250877,0.293163786,0.109105255,0.289201247,0.355023538,0.159879529
8.651908824,1460.773529,Malic acid 3TMS,Organic acids,0.22499569,-0.027137086,0.32065304,0.224321932,0.200232849,0.915645954,0.266840541,0.450039876,0.592708006,0.488766312,0.56111726,0.472300862,0.521389233,0.425790772,0.660826627,0.834553727,0.292301923,0.412220638,0.437730467,0.428394688,0.309273791,0.644286966,0.415018189,0.772400892,0.455298546,-0.663287824,-1.667525204,-1.70144412,-1.501731215,-1.544132418,-1.19790078,-0.962883464,-1.065354271,-0.378263269,-0.227863449,-1.329891961,-1.182807878,0.06034711,-1.060063002,-1.160807398,1.237631381,-0.563669317,-0.597950632,1.570861852,0.783206797,-0.789282184,-1.390078893,-0.510455703,-1.177643781,-0.55027892,2.202910267,2.312590571,1.84344909,1.948357425,1.553453744,-0.844988823,-1.197840083,-0.324223332,-0.367611214,-0.854800797
9.0083,1492.54,L-Aspartic acid 3TMS,Amino acids,-0.933548047,-1.683620153,-1.209617609,-0.886208348,-1.219599909,-0.834150445,-1.095212546,-0.677871939,-0.704591027,-0.682834139,-1.067400323,-0.942576821,-0.894524744,-0.950606231,-0.771790433,-1.206300968,-1.294810747,-1.01907105,-1.005855599,-0.972404789,-1.571952127,-0.870272551,-1.137769127,-0.646481264,-0.815276882,-0.432868127,-0.151152325,-0.183307676,0.0060215,-0.034175135,0.294054962,0.516853159,0.419710052,1.071077658,1.213657871,0.168926345,0.308363145,1.486883754,0.424726215,0.329219765,1.034220214,0.89531127,0.862812315,0.950107701,0.315970928,0.681428513,0.111868696,0.945758193,0.313258748,0.908005471,1.08372314,2.529601985,1.692514042,2.002337275,1.583907281,0.628618188,0.294112503,1.122307943,1.08117589,0.619316361
9.09342619,1500.135714,"Pipecolic acid, TMS derivative",Alkaloids,-1.776631629,-0.339561825,-0.167445284,-0.195987484,-0.214512169,-1.707716084,-0.390300936,-1.599363498,-0.265153805,-0.288159949,-0.495806476,-1.782891578,-1.7495755,-0.521781648,-0.417760634,-0.308533386,-0.459298091,-1.835927636,-0.325172449,-0.331921819,-0.031565441,-0.576261289,-0.396577321,-0.184618523,-1.694630457,0.34686073,-1.23417447,-1.256468612,-1.125201804,-1.153071163,0.472404568,-0.771029287,-0.838381045,-0.386771576,-0.287917155,0.635374947,0.704915548,1.377701465,0.632375958,0.727494024,0.687805558,1.106083201,0.952078034,0.936638161,0.522539079,0.550496848,0.405316725,0.731094512,-0.056802642,0.868515447,1.719007465,1.734977948,1.418881617,1.252379218,0.99642824,1.463846314,1.077163338,1.331099753,1.369126936,1.146367029
9.098826923,1500.615385,"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,-1.200523934,-1.707695739,-1.387188675,-1.16851534,-1.393938267,-1.133316594,-1.309833282,0.490401891,0.52231472,0.617373506,0.294040086,-1.206628717,0.129192423,0.303387566,0.369126406,0.443938948,-1.444792672,-1.258350175,-1.249414558,-1.226796837,-1.632187158,0.171412637,-1.338608012,-1.006425135,-0.28637412,0.869878972,0.706191479,0.453824523,0.553783232,0.763062458,1.230431896,0.832334296,-0.285529684,1.388436241,1.519684718,-0.455094547,-0.360815761,2.115513346,-0.282138057,-0.346713769,-0.774705029,1.879064854,1.700054932,0.073093206,-0.355671836,-0.10857144,1.179071285,1.505877414,0.718405809,1.630249037,0.163435894,-0.256697004,-0.259117953,-0.206016395,-0.460022758,-0.144278595,-0.370451188,0.189524607,0.161713598,1.641593251
9.114561111,1502.016667,Tryptamine,Alkaloids,-0.623078159,-0.919631843,-0.545393914,-0.433669983,-0.593557407,-0.237228665,-0.627908606,-0.534177782,-0.447572858,-0.459392639,-0.597795592,-0.725569821,-0.09255202,-0.857012522,-0.403850393,0.438627948,-0.342342105,-0.403733533,-0.242959781,-0.357386928,-1.148155072,-0.516836093,-3.728106119,-0.295625161,-0.52715318,-1.00531379,-1.04419701,-1.488668877,-1.243151988,-1.454140128,0.429304524,-0.006683624,-0.390494771,0.510096525,0.525292336,0.808892572,0.85331003,1.610872431,0.911470073,0.320633578,0.631874887,1.223799282,1.445462137,1.288122402,0.754369469,1.165324305,0.88043543,1.484766813,0.94776632,1.659815909,-1.566842671,1.098934105,1.440885716,1.446876185,1.145232133,-0.010325753,-0.033129467,0.312751587,0.520066791,0.048654765
