Metabolites,Class,Treatment type,Treatment concentration,Replicate,Metabolite concentration
Adenine 2TMS,Nucleic acids,RL,0.06,1,-0.502497179
Serine 3TMS,Amino acids,RL,0.06,1,-0.964698807
L-Threonine 3TMS,Amino acids,RL,0.06,1,-0.527422969
Malic acid 3TMS,Organic acids,RL,0.06,1,0.22499569
L-Aspartic acid 3TMS,Amino acids,RL,0.06,1,-0.933548047
"Pipecolic acid, TMS derivative",Alkaloids,RL,0.06,1,-1.776631629
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,RL,0.06,1,-1.200523934
Tryptamine,Alkaloids,RL,0.06,1,-0.623078159
Phenylpyruvic acid oxime 2TMS,,RL,0.06,1,-0.790503558
L-Glutamine 3TMS,Amino acids,RL,0.06,1,-0.659608631
L-phenylalanine 2TMS,Amino acids,RL,0.06,1,-0.893342253
L-(+)-Tartaric acid 4TMS,Organic acids,RL,0.06,1,-0.662209099
2-Keto-L-gulonic acid,Carbohydrates,RL,0.06,1,-0.648102189
"Arabinose, 4TMS",Carbohydrates,RL,0.06,1,-0.690575177
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,RL,0.06,1,-0.686068106
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,RL,0.06,1,1.312025119
"Fructose, MEOX-5TMS",Carbohydrates,RL,0.06,1,0.624430963
Glyceric acid 3TMS,Organic acids,RL,0.06,1,-1.194471055
"Lactose, TMS",Carbohydrates,RL,0.06,1,-0.149765609
β-D-Glucopyranose TMS,Carbohydrates,RL,0.06,1,-0.787044898
5-Methoxyindoleacetic acid,Indoles,RL,0.06,1,0.42508061
Erythrose MEOX-3TMS,Carbohydrates,RL,0.06,1,-0.731342533
Glucose-MOX-5TMS-PK1,Carbohydrates,RL,0.06,1,0.900198151
"Xylose, TMS",Carbohydrates,RL,0.06,1,-0.783310246
"Myo-Inositol, 6TMS",Carbohydrates,RL,0.06,1,-0.798236825
"Palmitic acid, TMS",Fatty acids,RL,0.06,1,-1.380497431
L-Rhamnose 4TMS,Carbohydrates,RL,0.06,1,-0.266420304
"Myristic acid, TMS",Fatty acids,RL,0.06,1,-0.143833126
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,RL,0.06,1,-1.529182494
"2-O-Glycerol-alpha-d-galactopyranoside, hexa-TMS",,RL,0.06,1,-2.347946429
"3,4-Dihydroxycinnamic acid, 3TMS",,RL,0.06,1,-1.18256631
"2-Palmitoylglycerol, 2TMS",,RL,0.06,1,-0.751710458
"Altronic acid, 1,4-lactone, TMS",,RL,0.06,1,0.107860657
"Uridine, tris-TMS",Nucleic acids,RL,0.06,1,-0.516529998
"Mannonic acid, 1,4-lactone, (4TMS)",,RL,0.06,1,0.002646162
Monostearin TMS,,RL,0.06,1,1.107452519
Adenine 2TMS,Nucleic acids,RL,0.06,2,-1.599104956
Serine 3TMS,Amino acids,RL,0.06,2,-0.574672376
L-Threonine 3TMS,Amino acids,RL,0.06,2,-0.49507938
Malic acid 3TMS,Organic acids,RL,0.06,2,-0.027137086
L-Aspartic acid 3TMS,Amino acids,RL,0.06,2,-1.683620153
"Pipecolic acid, TMS derivative",Alkaloids,RL,0.06,2,-0.339561825
"Pyroglutamic acid, bis(trimethylsilyl)-",Amino acids,RL,0.06,2,-1.707695739
Tryptamine,Alkaloids,RL,0.06,2,-0.919631843
Phenylpyruvic acid oxime 2TMS,,RL,0.06,2,-0.087793509
L-Glutamine 3TMS,Amino acids,RL,0.06,2,-0.127796965
L-phenylalanine 2TMS,Amino acids,RL,0.06,2,-1.553471789
L-(+)-Tartaric acid 4TMS,Organic acids,RL,0.06,2,-0.71189356
2-Keto-L-gulonic acid,Carbohydrates,RL,0.06,2,-0.754394259
"Arabinose, 4TMS",Carbohydrates,RL,0.06,2,-0.540520839
"Sorbose, pentakis(trimethylsilyl)-",Carbohydrates,RL,0.06,2,-0.861607492
"Lyxose, tetra-(trimethylsilyl)-ether",Carbohydrates,RL,0.06,2,1.081871178
"Fructose, MEOX-5TMS",Carbohydrates,RL,0.06,2,0.625454129
Glyceric acid 3TMS,Organic acids,RL,0.06,2,-1.631365229
"Lactose, TMS",Carbohydrates,RL,0.06,2,-0.351424371
β-D-Glucopyranose TMS,Carbohydrates,RL,0.06,2,-1.371169268
5-Methoxyindoleacetic acid,Indoles,RL,0.06,2,-2.159508224
Erythrose MEOX-3TMS,Carbohydrates,RL,0.06,2,0.127239878
Glucose-MOX-5TMS-PK1,Carbohydrates,RL,0.06,2,2.025590574
"Xylose, TMS",Carbohydrates,RL,0.06,2,-1.197727419
"Myo-Inositol, 6TMS",Carbohydrates,RL,0.06,2,-1.090734703
"Palmitic acid, TMS",Fatty acids,RL,0.06,2,-1.327458246
L-Rhamnose 4TMS,Carbohydrates,RL,0.06,2,-0.373441936
"Myristic acid, TMS",Fatty acids,RL,0.06,2,-0.391186811
"Octadecanoic acid, trimethylsilyl ester",Fatty acids,RL,0.06,2,-1.953805509
